StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID2,QID3,QID4,QID4_5_TEXT,QID7,QID6,QID8,QID8_25_TEXT,QID10,QID11,QID12,QID13,QID15,QID16,QID17,QID40,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID26,QID28,QID29,QID30,QID31,QID32
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,1. Name (first and last):,2. Are you affiliated with GWU?,3. What is your affiliation?,3. What is your primary role? - Selected Choice,3. What is your primary role? - Other - Text,4. What is your current major?,4. How long have you worked at GWU?,5. What is your school/college/organization? - Type of organization?,5. What is your school/college/organization? - Which organization?,1. How familiar are you with the concept of open source hardware?,2. How familiar are you with the concept of open source software?,"3. How familiar are you with the concept of open source educational materials such as Khan Academy, Software Carpentries, Data Carpentries, MIT Open Courseware?",4. Are there key tools in your field or your work that you recognize as open source?,4a. Please type below the key tools in your field or your work that you recognize as open source.,"5. How would you characterize the importance of open source software for your education, teaching, and research?","6. Which of the following licensed software provided by campus or paid for by campus (e.g. Mathematica, ..) do you use?","7. Compared to the licensed software in the campus software library [CSL] (listed in question 6), which best characterizes your use of open source software tools (like R, python, Julia, etc.) for your research, teaching, and learning?",8. What do you perceive as the main benefits of using open source software in an academic environment?,9. Do you think it makes sense for the university to contribute to open source software that is vital to its educational and research enterprise?,1. To what degree do you agree with the following statement: “Software is a valuable form of research output”,2. To what degree do you agree with the following statement: “Open Source Software is an effective vehicle to translate campus research into entrepreneurship and innovation”,3. Have you ever contributed to any open source projects as part of your academic work or personal interests?,4. Do you agree that GWU has a vibrant culture around open source software?,5. Do you see value in having a vibrant culture around open source software?,6. Have you received any formal training or education on open source software during your time at GWU?,6a. Please specify the type of training or education about open source that you received at GWU.,"1. Would you like to see more training, education, or support for learning how to contribute to open source projects?","2. Would you be interested in participating in workshops, events, or initiatives organized by the OSPO to promote usage of and contributions to open source at GWU?","3. Would you like to be added to our OSPO email list and Google group to receive updates or be involved in future open source initiatives at GWU? If so, please provide your email address.","4. If you are currently contributing to any open source projects, please feel free to provide a link to that work (ex: GitHub account, webpage link, etc.).",5. Please list people involved in Open Source or Open Source projects at GWU that you think we should know about.
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID40""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}",,"{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}"
,,,,100,,TRUE,,R_10c7x5OHYrtNQSp,,,,,,,,,,Yes,,Staff,,,0-1 years,Administrative,Libraries,Very familiar,Very familiar,Very familiar,Yes,"python, logseq, jupyter, R, mattermost, VS Code, drupal, linux",Critical/Vital/Essential,"Adobe Creative Cloud,GW Github,Microsoft Copilot,Qualtrics,Slack",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Somewhat agree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_5Oq4IwClKtJiMvE,,,,,,,,,,Yes,,Graduate Student,,Computer Engineering,,Academic,School of Engineering and Applied Science,Extremely familiar,Extremely familiar,Extremely familiar,Yes,"CARLsim6, python3 (an numerous packages), vim, visual studio code, ",Critical/Vital/Essential,"Adobe Creative Cloud,GW Github,Mathematica,Matlab",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,No,No,,,
,,,,100,,TRUE,,R_1nSJvBfFlPwM1fb,,,,,,,,,,Yes,,Faculty,,,7-10 years,Academic,Columbian College of Arts and Sciences,Moderately familiar,Extremely familiar,Extremely familiar,Yes,Open access digital books,Critical/Vital/Essential,Adobe Creative Cloud,"N/A, I don't use either","Community Support,Customization,Lower Costs",Yes,Somewhat agree,Neither agree nor disagree,Yes,Neither agree nor disagree,Some value,Yes,,No,Yes,,,
,,,,100,,TRUE,,R_7s6Yc2GPozOBIbv,,,,,,,,,,Yes,,Undergraduate Student,,Systems Engineering,,Academic,School of Engineering and Applied Science,Slightly familiar,Moderately familiar,Slightly familiar,Yes,github,Critical/Vital/Essential,"Adobe Creative Cloud,Autodesk,Matlab,Qualtrics,Slack",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs",Yes,Somewhat agree,Strongly agree,Yes,Somewhat agree,Very valuable,Yes,,,,,,
,,,,100,,TRUE,,R_3oAAtSbyP3vxV9Q,,,,,,,,,,Yes,,Graduate Student,,Cybersecurity,,Academic,School of Engineering and Applied Science,Extremely familiar,Extremely familiar,Extremely familiar,Yes,Kali and Parrot OS and all the tools installed on the platform.  Everything under the Apache Foundation.  Python,Critical/Vital/Essential,Adobe Creative Cloud,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs",Yes,Neither agree nor disagree,Somewhat agree,Yes,Neither agree nor disagree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_3Cl4Z2qvn9qBQEY,,,,,,,,,,Yes,,Graduate Student,,Cybersecurity Analytics,,Academic,School of Engineering and Applied Science,Slightly familiar,Very familiar,Slightly familiar,No,,Neutral,Slack,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Lower Costs",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_7fwV3SoQir7kbqT,,,,,,,,,,Yes,,Staff,,,2-3 years,Administrative,Libraries,Slightly familiar,Slightly familiar,Slightly familiar,Yes,"Databases, ebooks, internet archive, archivespace",Valuable,Slack,I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Lower Costs,Vendor Independence",Yes,Somewhat agree,Somewhat agree,Yes,Somewhat disagree,Neutral,No,,Yes,No,,,
,,,,100,,TRUE,,R_1rMRLkQhqAhIa6B,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,Corcoran School of the Arts & Design,Moderately familiar,Very familiar,Moderately familiar,Yes,"Gimp [image editing software], blender [3D modeling and rendering software,] etc - lots of the generative AI software I use is open source",Valuable,"Adobe Creative Cloud,Autodesk,Microsoft Copilot",I use open source software about the same as the licensed software in CSL,"Flexibility,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Neither agree nor disagree,No,Neither agree nor disagree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_3DZMbr8yr1R2GVv,,,,,,,,,,Yes,,Faculty,,,4-6 years,Academic,School of Engineering and Applied Science,Moderately familiar,Extremely familiar,Very familiar,Yes,"R, python, quarto, Rmarkdown, RStudio",Critical/Vital/Essential,"Adobe Creative Cloud,Slack",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_5VWa4747YVbAPbH,,,,,,,,,,Yes,,Graduate Student,,D.Engineering in Cybersecurity Analytics,,Academic,School of Engineering and Applied Science,Slightly familiar,Very familiar,Slightly familiar,Yes,"Metasploit, NMAP, SQLMAP, Autopsy, Volatility, The Sleuth Kit, Wireshark, SNORT, OpenCTI, Hashcat, John the Ripper, GnuPG, Burp Suite Community, TheHive, pfSense",Critical/Vital/Essential,"Adobe Creative Cloud,Mathematica,Matlab,SAS",I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support,Lower Costs",Yes,Somewhat agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_7PSnjAp8zdkorwd,,,,,,,,,,Yes,,Staff,,,0-1 years,Administrative,Libraries,Slightly familiar,Slightly familiar,Moderately familiar,Yes,Drupal,Valuable,"Adobe Creative Cloud,Slack",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support,Lower Costs",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,Yes,,Yes,No,,,
,,,,100,,TRUE,,R_34MgXG7FqQPdzic,,,,,,,,,,Yes,,Faculty,,,4-6 years,Academic,Columbian College of Arts and Sciences,Slightly familiar,Extremely familiar,Slightly familiar,Yes,"Python, Astropy, Julia, JuliaAstro, Common Astronomy Software Applications (CASA), HEASoft tools",Critical/Vital/Essential,Slack,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_5MuiZ2IPFgjDx3k,,,,,,,,,,Yes,,Graduate Student,,Computer science ,,Academic,School of Engineering and Applied Science,Not familiar at all,Extremely familiar,Extremely familiar,Yes,Ubuntu os,Critical/Vital/Essential,None,I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_6iqJtFoDEvAwwJL,,,,,,,,,,Yes,,Staff,,,2-3 years,Administrative,Libraries,Not familiar at all,Slightly familiar,Slightly familiar,Yes,n/a,Little importance,"Adobe Creative Cloud,Slack",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_7GCdwFl6nhpYSu9,,,,,,,,,,Yes,,Graduate Student,,Human Paleobiology,,Academic,Columbian College of Arts and Sciences,Slightly familiar,Very familiar,Very familiar,Yes,"ImageJ / FIJI, Cellpose, R, Python",Critical/Vital/Essential,"Adobe Creative Cloud,Slack",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_13d7nvYuPpPdwxZ,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,School of Engineering and Applied Science,Moderately familiar,Extremely familiar,Extremely familiar,Yes,"Python, SciPy libraries, Jupyter, Fenics, PETSc, OpenFOAM",Critical/Vital/Essential,"Adobe Creative Cloud,GW Github,Microsoft Copilot,Slack",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat disagree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_7fmHfMnDOvx6Kwp,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,School of Engineering and Applied Science,Very familiar,Very familiar,Very familiar,Yes,"Raspberry Pi, Python programming and Linux OS",Valuable,"Adobe Creative Cloud,Autodesk,Matlab,Slack",I use open source software about the same as the licensed software in CSL,"Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Somewhat disagree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_1nw4Fo4AWYeCu2R,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,School of Engineering and Applied Science,Moderately familiar,Moderately familiar,Moderately familiar,Yes,"RosettaFold, fftw, meep",Valuable,"Adobe Creative Cloud,Autodesk,Mathematica,Matlab,Microsoft Copilot",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility,Customization,Lower Costs",Not sure,Strongly agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_531nSEnkPUNx9Pv,,,,,,,,,,Yes,,Faculty,,,4-6 years,Academic,School of Engineering and Applied Science,Moderately familiar,Moderately familiar,Moderately familiar,Yes,"Metaneuron, ECGSim, AnyBody, Opensim, Sim4Life
",Valuable,"Autodesk,Matlab",I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Community Support,Vendor Independence",Yes,Strongly agree,Neither agree nor disagree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3vkKHg8v9kci36y,,,,,,,,,,Yes,,Faculty,,,2-3 years,Academic,School of Engineering and Applied Science,Slightly familiar,Very familiar,Extremely familiar,Yes,Q GIS (for open source GIS); countless software packages in Python and R (for all types of data analyses and model building); a bunch of data products and open source models that other researchers have developed and published. ,Critical/Vital/Essential,"Adobe Creative Cloud,ArcGIS,NVivo,Qualtrics",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_6UcrP6KXAw465MW,,,,,,,,,,Yes,,Faculty,,,2-3 years,Academic,School of Engineering and Applied Science,Extremely familiar,Extremely familiar,Extremely familiar,Yes,I'm in the CS department.  It's not feasible for me to list *all* of the tools.,Critical/Vital/Essential,Adobe Creative Cloud,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Customization,Lower Costs,Vendor Independence",Not sure,Strongly agree,Neither agree nor disagree,Yes,Neither agree nor disagree,No value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_7Wjmmo0mlB2gIQ9,,,,,,,,,,Yes,,Faculty,,,2-3 years,Academic,School of Engineering and Applied Science,Very familiar,Very familiar,Moderately familiar,Yes,ARCADIA Capella,Valuable,Matlab,I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility,Lower Costs",Yes,Somewhat agree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,No,No,,,
,,,,100,,TRUE,,R_73fXtDvaycJDxud,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,School of Engineering and Applied Science,Extremely familiar,Extremely familiar,Extremely familiar,Yes,Almost everything. It would be hard to name any of the hundreds of relevant software that isn't open source. Everything we do is open source.,Critical/Vital/Essential,None,I use open source software much more than the licensed software in CSL,"Reproducibility,Flexibility,Customization",No,Strongly agree,Somewhat agree,Yes,Strongly disagree,No value,No,,,,,,
,,,,100,,TRUE,,R_1PHrpcCl9fDpIN0,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,School of Engineering and Applied Science,Very familiar,Extremely familiar,Very familiar,Yes,,Critical/Vital/Essential,"Adobe Creative Cloud,Slack",I use open source software much more than the licensed software in CSL,"Reproducibility,Flexibility,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_7kmObhz0FvRhCoI,,,,,,,,,,Yes,,Graduate Student,,Engineering,,Academic,School of Engineering and Applied Science,Very familiar,Very familiar,Very familiar,Yes,,Critical/Vital/Essential,"Adobe Creative Cloud,Microsoft Copilot",I use open source software much less than the licensed software in CSL,"Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,No,Somewhat disagree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_3FPVhDkzJW8B9rc,,,,,,,,,,Yes,,Faculty,,,2-3 years,Academic,School of Engineering and Applied Science,Not familiar at all,Extremely familiar,Very familiar,Yes,"Data analysis software, code, classification software, many journal articles",Critical/Vital/Essential,"Adobe Creative Cloud,ArcGIS,Autodesk,GW Github,Labview,Mathematica,Matlab",I use open source software about the same as the licensed software in CSL,"Knowledge Sharing,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3EbU0tugb31SJ6C,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,School of Engineering and Applied Science,Not familiar at all,Moderately familiar,Moderately familiar,Yes,"Cantera, python",Valuable,"Adobe Creative Cloud,ArcGIS,Labview,Matlab,Qualtrics,Slack",I use open source software about the same as the licensed software in CSL,"Flexibility,Lower Costs",Not sure,Strongly agree,Somewhat agree,No,Somewhat disagree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_5eE2y8SG5jzgr2p,,,,,,,,,,Yes,,Undergraduate Student,,Public Health,,Academic,Milken Institute School of Public Health,Not familiar at all,Slightly familiar,Very familiar,No,,Neutral,"Adobe Creative Cloud,Microsoft Copilot",I use open source software much more than the licensed software in CSL,Lower Costs,Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_1o0sHySe4xYDhkd,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,Graduate School of Education and Human Development,Moderately familiar,Very familiar,Very familiar,Yes,"Open source text books for my classes, Python, arXiv, OSF, etc.",Critical/Vital/Essential,"GW Github,Microsoft Copilot,Qualtrics,Slack",I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,Yes,,No,No,,,
,,,,100,,TRUE,,R_3ZWd5DbvpmyObUS,,,,,,,,,,Yes,,Staff,,,10+ years,Administrative,Information Technology,Moderately familiar,Very familiar,Slightly familiar,Yes,"GWIT utilizes large amounts of Linux servers along with Apache, MySQL/MariaDB, postgreql, and other pieces of software that if not today have their roots firmly planted in Open Source",Critical/Vital/Essential,"GW Github,Microsoft Copilot",I use open source software much less than the licensed software in CSL,"Flexibility,Community Support,Lower Costs,Vendor Independence",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3Va4zkeld3NEdxL,,,,,,,,,,Yes,,Staff,,,10+ years,Administrative,Information Technology,Slightly familiar,Extremely familiar,Slightly familiar,Yes,"Python, javascript, react, postgresql, linux",Critical/Vital/Essential,GW Github,I use open source software much more than the licensed software in CSL,"Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Somewhat disagree,Very valuable,No,,,,,,
,,,,100,,TRUE,,R_7CZsKidiqlHSIgX,,,,,,,,,,Yes,,Staff,,,4-6 years,Administrative,Information Technology,Moderately familiar,Moderately familiar,Not familiar at all,Yes,Monitoring tools like Nagios,Critical/Vital/Essential,"Microsoft Copilot,Qualtrics,Slack",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Lower Costs,Vendor Independence",Yes,Neither agree nor disagree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_35UOS8791LrDTKV,,,,,,,,,,Yes,,Staff,,,4-6 years,Administrative,Information Technology,Very familiar,Extremely familiar,Very familiar,Yes,"Linux, git, python, etc",Critical/Vital/Essential,GW Github,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_5jCCPifofgkEadO,,,,,,,,,,Yes,,Staff,,,4-6 years,Administrative,Information Technology,Very familiar,Extremely familiar,Extremely familiar,Yes,R gnuplot Slurm Linux Python latex lots more,Critical/Vital/Essential,"GW Github,Mathematica,Matlab,Microsoft Copilot,Qualtrics,SAS,Slack,SPSS from IBM",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_5ifg5oWJB55NoP1,,,,,,,,,,Yes,,Staff,,,4-6 years,Administrative,Information Technology,Not familiar at all,Moderately familiar,Very familiar,Yes,"The webtool Workbench, it has been discussed in forums as a useful tool for Salesforce API development, SOQL queries, or Metadata updates.",Neutral,"Adobe Creative Cloud,Microsoft Copilot",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_1taRYXzuUJ0w8X2,,,,,,,,,,Yes,,Staff,,,10+ years,Administrative,Libraries,Slightly familiar,Extremely familiar,Extremely familiar,Yes,Ubuntu Linux; Python and most associated libraries; R and associated libraries; many library software frameworks,Critical/Vital/Essential,"Adobe Creative Cloud,GW Github,Microsoft Copilot,Slack",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_5EnoH8kjGeVbfXF,,,,,,,,,,Yes,,Faculty,,,7-10 years,Academic,School of Engineering and Applied Science,Very familiar,Very familiar,Extremely familiar,Yes,"so many!  I use OpenCV the most, but also LaTex etc...",Critical/Vital/Essential,"Adobe Creative Cloud,Matlab,Slack",I use open source software about the same as the licensed software in CSL,Lower Costs,Yes,Strongly agree,Somewhat agree,Yes,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_6QMcsdqVyAIYSOZ,,,,,,,,,,Yes,,Faculty,,,10+ years,Academic,School of Engineering and Applied Science,Very familiar,Very familiar,Very familiar,Yes,,Critical/Vital/Essential,"Adobe Creative Cloud,Autodesk,Matlab,Slack",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Lower Costs,Vendor Independence",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
